OriginalTweet,Attitude,Emotion
"b'@MSNBC @JoyceWhiteVance @TuckerCarlson So much lies&amp;fake news, Putin will never leave Ukraine&amp;getting his revenge from Obama for 8yrs putting useless sanctions on Russia. Now Putin is punishing Biden&amp;make his life miserable for rest of his presidency.What goes around comes around.'",1,0
b'\xe2\x9a\xa1 Russian air defenses downed a Ukrainian Bayraktar drone.\n\n #ukraine_russia https://t.co/Cy2sBulVG4',0,0
"b""Ukrainian photojournalist Maks Levin killed by Russian forces, according to Ukraine attorney general's office\xc2\xa0 https://t.co/X4IKbVdLHl @amy_cassidy1 @elizamackintosh Mariya Knight""",1,0
"b'@Buckweat16 If it is real - it is a warcrime. Both sides are committing war crimes, as happens in nearly all wars.\n\nHowever, what Russia is doing in Ukraine is a crime against humanity: genocide. https://t.co/1uadYHXbhI'",0,1
b'Russian Iskanders will ruin your day\n\nw local conventional multiple \n\nwarheads to nuclear cruise missiles\n\nRussia long ago looked at these \n\nforces v armor as its superior backup\n\nv NATO &amp; US America\n\n#Ukraine Kyiv Kiev #Saturday https://t.co/534UcqKQfw https://t.co/NlDAjFjYkK',0,0
b'@okeyeze83 @okostel @firstladyship @DokunOjomo And you using Putin and Russia as an example is just dumb...Oga our story as ndi igbo is more relatable to Ukraine story than Russia',0,0
b'Guardian:UK intelligence warned Thurs that #Russia was increasingly seeking out cyber targets as ground campaign in #Ukraine stalls. reports on Wed revealed #Russian hackers attempted to penetrate the networks of #NATO  and the militaries of some eastern European countries.',0,0
b'Ukraine President Volodymyr Zelenskyy said in a video address to his country that Russian forces are leaving landmines in homes and streets.\n\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0\xc2\xa0 https://t.co/sMONY2ULC2',0,0
"b""@MAGADALLAS1 I'm lost? So Russia didnt admit to bombings? U people have gone crazy. U apply ur left wing right wing American politics to foreign policy from completely different countries. U think since joe Scarborough supports Ukraine u must be against it. It's a very stupid take on things""",1,1
b'Street Art : Somewhere in Latvia \n\n#Ukraine #UkraineRussiaWar #UkraineWar #war #UkraineUnderAttack  #UkraineRussia #Russia #Ukrainian  #Russian #Kyiv @Ukraine https://t.co/wLDcxaiTOE',0,0
b'@docvlad51 @EP_President @glagoljica_ Putin is where you should be pointing the blame. He has no right to invade Ukraine. It does not belong to Russia.',1,1
b'@sbg1 I am determined to look at the horrific footage from Ukraine. Russia must be held accountable for all of the war crimes that have been committed by their marauding thugs who cosplay as a legit military.',1,1
b'Western media clubs together to white-wash Ukrainian Neo-Nazis https://t.co/mYlt4r1NVU',0,0
b'@ninadsheth @KofmanMichael Their political objectives were a Ukrainian vassal state and instead they birthed a Ukraine that is finally politically unified and defiantly anti-Russian/pro-western. Their war has been a catastrophe for Russia and the goals you mention are no where close to being achieved yet.',0,0
b'can you blame them this is what they use in soviet\n#Ukraine  #Russia \nhttps://t.co/6wNnVpTJva https://t.co/NPX656iQib',1,1
"b'Ukraine Asks European Nations to Close Border With Russia, Belarus | https://t.co/cbGUZ5u2Ql https://t.co/sNGxTjlyR9'",0,0
b'@Praecursator007 Syria invasion is a US proxy war on Russia on one front and NATO pushing up to Russia through Ukraine is another .',0,0
"b""Possible solutions: a) keep NATO prospects open even if membership can be postponed, b) enhance UA's cooperation with NATO c) prepare bi-/multateral security agreements btw Ukraine and partners, but with limited number of states having commom denominator. Russia excluded 6/7""",0,0
"b'@fergie_grey @Muinchille A bit like Ukraine and Russia then, eh?'",0,1
"b'Ukraine\'s ""non-aligned"" status can put at risk cooperation with NATO including a) arms supply, b) intelligence sharing, c) training. This can weaken Ukraine\'s security capabilities. Russia can use this to prepare another invasion 4/7'",1,0
"b'LMAO people celebrating #Ukraine ""recapturing"" areas that Russia has no interest in and is just withdrawing from is like a frog celebrating because the bath is warming up. But then it keeps getting warmer, and finally the frog realises it was a cooking pot, not a bath. \n#Donbass'",0,1
"b'VIDEO:\n\n#Russia|n #Mi28N Gunship destroying #Ukraine armour during night missions for witch this Gunship is prepared.\n\nSome report the Gunships in the video were the more evolved MI-28NM, but that is not the case because of the nose of the Gunship witch is quite different. https://t.co/7ZYPuXXIng'",0,0
b'@armscontrol_rus @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus denazification of Russia ... soon',0,0
"b'As the Russians retreated, they left mines and booby traps -- including some hidden in the bodies of dead civilians -- to slow the Ukrainians\xe2\x80\x99 pursuit, according to Ukrainian officers in different towns. @AndrewKramerNYT @NeilMacFarquhar  https://t.co/eko10aYFvD'",1,0
"b'@ZelenskyyUa @IvanDuque @mfa_russia, even Columbia is friendly towards Ukraine. The world hates Russia.'",1,1
"b""@markizaypeter Russia's crimes against Ukraine are a disgrace to human society, the perpetrators must be held accountable! You can help us, this battle is not only for Ukraine, but also for democracy around the world! Make the right choice, stay on the bright side!""",1,1
b'Zelenskyy says retreating Russian forces are boobytrapping Ukrainian streets; US pledges military equipment: Live updates #SmartNews  https://t.co/cycLhEZivY',1,0
"b""@Happy_kulayo Same in Nyeri\xf0\x9f\x98\xb3 sh*t is crazy... I don't know if this is purely effects of the Russia-Ukraine war, or there's some foul play here...""",0,0
"b""Putting aside Abiy's fraud &amp; treachery, taking command of a nation 20 times your size is no easy feat.\n\nIt's like Ukraine taking control of Russia. Or Taiwan taking control of China. Or a Nepali dictator taking control of India. Absurd.""",0,1
b'@RussianEmbassy @mfa_russia @RusembUkraine @RusEmbUSA @RusMission_EU @BBCWorld @SkyNews @ftworldnews @guardianworld @TelegraphWorld @spectator Yes you clearly are a direct threat -am sure dead women and children in ukraine would agree Mr lavrov',1,1
"b'Escalate, Escalate, Exterminate.\nRussia vows to target British-made weapons https://t.co/rqjJCMCRlc @MailOnline'",0,0
b'Politico: Trumpian Conservatives Hold An Emergency Meeting Over Russia-Ukraine War https://t.co/YE9de7NVX8',0,0
"b'12. Some users claim that pictures with executed civilians (above) are from Bucha #Ukraine &amp; that this town was occupied by #Russia \'s infamous paratroopers &amp; Kadyrov\'s Chechens, who some on Twitter said to act as ""internal control"" NKVD style troops https://t.co/wWutDehkMt'",1,0
"b""Chancellor Scholz sharply attacks Russia's President Putin. \n\nDuring an appearance, #German Chancellor #Olaf #Scholz has accused #Russia 's President  #Putin of causing global damage with the Russian attack on #Ukraine.\n#Moscow #StopPutinNOW #FreeUkraine #StopPutin #EU #Germany https://t.co/tMPLGRMpeg""",0,0
"b""@pthomasgarcia And what's funny is you guys are even blowing up your own oil depots to frame Ukraine your getting so desperate not that Ukraine blowing up oil depots in russia is bad they have every right.""",1,1
b'@kiraincongress if john kenaddy was now president of usa and looked at this he would say putin you have 48 hour to get out of ukraine or i will nuke mascow just like he said about cuba 1963  take your misiles back to russia',1,1
"b'Poor Puppet,Poor fool @ZelenskyyUa  @WhiteHouse  @Europarl_EN  #liars #Traitors #TraitorsToDemocracy  #nazisinukraine #nazis #disappointed #truth #TruthAtAllCosts #TruthMatters #Ukraine #UkraineCrisis  #Russian #Russia #Russians #WashingtonDC #EnemyOfThePeople  #IMPEACHBIDENNOW https://t.co/SblToZyuRm'",0,1
"b""@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus I would agree this is a problem. So, why did #Russia #invade #Ukraine in the first place requiring them to get #weapons to defend themselves? It's on you, boys.""",0,1
"b'Kim Iversen: Ukraine-Russia Is REALLY About The Demise Of US Hegemony, P... https://t.co/P1lWQOwRZI via @YouTube \n\nOur ""Leaders,"" or Fools in Control?\nExcellent Analysis by Kim Iversen!!!\nWATCH:'",0,0
"b'@vonderleyen EXCLUSIVE: China staged a huge cyberattack on Ukraine\xe2\x80\x99s military and nuclear facilities in the build-up to Russia\xe2\x80\x99s invasion, according to intelligence memos obtained by The Times #WakeUp'",1,0
"b'#RaviVisvesvarayaSharadaPrasad  https://t.co/9AUgCLqzoG Ukraine Says Regained Control Of ""Whole Kyiv Region""'",0,0
"b'@meatballsubzero Hmm. To what extent do you agree or disagree with the Anatoly Karlin types that Russia went into this conflict with maximal territorial goals? That is, not just the Donbass, but annexing or puppetizing the entirety of Novorossiya, if not all of Ukraine?'",0,1
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Thanks to Russia for all its donations to @DefenceU too https://t.co/tQsM4iqEnJ',0,0
"b'@MaxBoot He would be a great President to get Russia on the right track. I feel so sorry for the Russian people. I hate feeling such disdain for Russia for the brutality and cruelty of its military. I pray peace will come, but only if Ukraine is rebuilt and protected by UN peacekeepers.'",1,1
"b'@zlj517 @GeromanAT Unlike Russia US didnt invaded its neighbours like Georgia, Ukraine, Chechenya. US uses economic sanctions as a deterrent'",0,1
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Most Crucial mistake Why Russian Army did not think that making a provision for polond border and and nato arms supply there.!!!!',1,1
"b'@JanezLenarcic Hello Janez. We Ukrainians have something to ask you. As you know, Ukraine has been attacked by russia, as a member of the European Commission, you can help. A help like not issuing visas for the children of Russian elite anymore would do the trick.'",1,1
b'Once again double standards from PM???\n\nScott Morrison defends trade pact with India after its refusal to condemn Russia\xe2\x80\x99s invasion of Ukraine https://t.co/oLrS1r461T',0,0
"b'@mbaram @EliseStefanik @NYChamber @BBBUpstateNY @UpstateNYUnited Two separate issues.  So you are ok with the POTUS selling out the country to China, enriching his family via Russia and Ukraine because it helps upstate NY?  Maybe her thought is we need to get rid of corruption and that will benefit the entire country'",0,0
b'@LetsFreeTheCape There is no factual basis to claim that WC ppl predominantly support Ukraine over Russia.',0,0
"b'Russians booby-trapping homes as they retreat, claims Zelenskiy https://t.co/iVQk6m3372'",1,1
b'#Moscow #European #UkraineRussiaWar #RussiaWar #Putin #RussiaUkraineWar  \n#Kremlin #Poland #EU #Russia #Ukraine\n\nwere 15 women. Russians shaved beautiful women baldly by Nazi barbers for sexual crimes. https://t.co/wYhiFSJP3D',1,1
"b'Poor Puppet,Poor fool @ZelenskyyUa  @WhiteHouse  @Europarl_EN  #liars #Traitors #TraitorsToDemocracy  #nazisinukraine #nazis #disappointed #truth #TruthAtAllCosts #TruthMatters #Ukraine #UkraineCrisis  #Russian #Russia #Russians #WashingtonDC #EnemyOfThePeople  #IMPEACHBIDENNOW https://t.co/rBOYmJBBxe'",1,1
b'@armscontrol_rus @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Lethal weapons! But what are you saying?! Are the weapons lethal! The irony is complete. Russia is executing all civilian men between 16 and 60 and let the bodies stay on the streets. And then Russia is crying like a baby that Ukraine gets lethal weapons.',1,1
b'Sunday shows preview: Russia-Ukraine talks remain fruitless as invasion drags on https://t.co/hpwgwSBXuB https://t.co/mdq9G7o5dF',0,0
"b""Thanks for buying Putin's gas &amp; oil. Thanks for supporting Nord Stream 2 to pay more bloody money for Russia. Blood of Ukrainian people is forever on your hands @Bundeskanzler @OlafScholz @Europarl_EN @ICRC #RussianWarCrimes #Ukraine #UkraineRussiaWar https://t.co/rEMWaQzkWn https://t.co/3ATxmtw9OJ""",1,1
"b'Yet Russia invaded Ukraine multiple times between 1917-1922, forcing Ukraine into Soviet Union. Russia invaded Ukraine in 2014. Russia invaded Ukraine in 2022. Russian tsars and empresses\xe2\x80\x94and now presidents\xe2\x80\x94have tried to wipe Ukrainian culture from history books for centuries.'",1,0
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus This is profitable for arms manufacturers.',1,1
b'Really?!\xe2\x80\xa6.. Russia the punk ass \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x91\xba\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/V9npAgtUeQ',0,0
b'@nebraskaredrose Maybe #Ukraine should liberate @Russia. There sure are a lot of people acting like Nazis there.',0,1
b'@sumlenny @AlexKokcharov @NATO @NATOpress @UNHumanRightsUA @UN \n@POTUS @10DowningStreet\n\nRussia perpetuates war crimes against civilians in Ukraine . Step up pressure further and take action against #WarCrimes #Putin #putinswar',1,1
b'@IAPonomarenko @VolunteerReport Incredible killers &amp; robbers!\nAnd why is the post office in Ukraine are taking all the stuff they stolled from Ukrainians to send it in Russia in the first place ?',0,1
"b'Viewing the #WarCrimes in #Ukraine by Russia a ""respected"" member of the #UN &amp; a member of it\'s security council it\'s time for this organisation to apply for chapter 11. You lost your mandate of humanity. NEVER AGAIN you said. Really? Moral #bankruptcy https://t.co/rsk35vIxcl'",1,1
b'@OgbennaDivine @Qdpaper2 @OmoIyaRisi @BankyW \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3so for your mind Ukraine is defeating Russia? Too much CNN is bad for you guy\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,1
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus I personally trust the UAF more with these weapons than so many others...',0,1
"b'The venue for a meeting between #Russian President Vladimir Putin and #Ukrainian counterpart Volodymyr Zelenskyy would most likely be #Turkey, Interfax Ukraine reported citing a Ukrainian negotiator.\n\n#Russia #Ukraine #Putin #Zelensky https://t.co/hQGQMnx8fG'",0,0
"b'@TomiBoooca12 @Badenoch @trussliz And who was on the islands to be \xe2\x80\x98invaded\xe2\x80\x99? Even so that was over 120 years ago, Russia invaded Ukraine last month\xe2\x80\xa6'",1,0
b'Russia-Ukraine war latest: Ukrainian troops retake entire Kyiv region; protest in occupied town violently dispersed \xe2\x80\x93 live https://t.co/GwlunZs593',0,0
b'@ZelenskyyUa @BorisJohnson Dialogue or war\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3. Comedian Russia will be the end of you. Ukraine are not standing with you. They want peace.',1,1
"b""@KatalinNovakMP Russia's crimes against Ukraine are a disgrace to human society, the perpetrators must be held accountable! You can help us, this battle is not only for Ukraine, but also for democracy around the world! Make the right choice, stay on the bright side!""",1,1
"b""Belarus played key role in Russia's invasion of Ukraine. The country allowed missiles to be fired from its soil &amp; served as the staging ground for Russian troops as they prepare to invade Ukraine.\n\nUkraine Asks European Nations to Close Border With Russia. https://t.co/zH8BbCnYjn""",1,0
b'@ManevychElena Moldovan goverment! Are you serious neutral to sanctions? Today Russia destroy Ukraine. And who know who will be the next if we don\xe2\x80\x99t stop aggressor today. @sandumaiamd @nicupopescu @natgavrilita @MihaiPopsoi @MihovSergiu @SMuresan @dumitru_alaiba @cgherasimov @grozaiulian',1,1
b'Next on the news probably russia accusing ukraine of using aimbot or something. https://t.co/XAGB5zaJrd',1,1
"b'@NeverTrumpTexan Russia may want to win, Ukraine must win.'",0,0
"b""@kronopy @tinso_ww Indeed the Facepalm is needed today. Ukraine Generals fired by Zelensky, SBU heads fleeing to Poland. Mayor's and Deputy Mayor's switching to Russia. Zelensky himself in Poland while the Ukrainian army commits mass suicide. Facepalm\xf0\x9f\x98\x82\xf0\x9f\x98\x82""",0,0
"b'Ukraine war: Kyiv claims Russia mining areas, firing on civilians | Top\xc2\xa0points https://t.co/vWUHGF9pM0'",1,0
b'Zelenskyy says retreating Russian forces are boobytrapping Ukrainian streets: Live updates - USA TODAY https://t.co/y2mp9ibJri via @GoogleNews',0,0
b'@idreesali114 @IntelCrab Putin moving tanks south. training Assad\xe2\x80\x99s men in Russia who volunteered to fight in Ukraine. Russia bombing Ukraine railways. Russia telling Russia\xe2\x80\x99s gullible people that Russia warned the separatists that Ukraine and US coating bank notes with a biological substance.',1,0
"b""@AnonOpsSE When will Ukraine start to bomb Russia ????\nThat's what I want to know.""",1,1
b'@GicAriana @olgatokariuk Russia wants to cut off foreign aid to Ukraine',0,0
"b""@JackApp39893921 @sssmirnov That's the point, I do my research for more than a week already, literally nonstop, in the big picture this Interviews are just a tiny pixel, there is so much evidence speaking for Russia, Ukraine soldiers do photos and videos too, but all of them prove Russia right aswell""",0,0
"b'Poor Puppet,Poor fool @ZelenskyyUa  @WhiteHouse  @Europarl_EN  #liars #Traitors #TraitorsToDemocracy  #nazisinukraine #nazis #disappointed #truth #TruthAtAllCosts #TruthMatters #Ukraine #UkraineCrisis  #Russian #Russia #Russians #WashingtonDC #EnemyOfThePeople  #IMPEACHBIDENNOW https://t.co/vrXO9uJAkh'",1,1
"b""World War 3 risk \xe2\x80\x98high' as China, North Korea and Iran exploit West's 'diverted attention' #SmartNews  https://t.co/PZQwDWQ2Ns""",0,0
"b""Moscow's Support for Minsk 'Absolute', Attack on Belarus Would Be Equal to Strike on Russia: Kremlin https://t.co/Ajp66nbdim""",0,0
"b'@KSergatskova Russia underestimated Ukraine, sent poorly led troops who thought they were on a training exercise!\nDefending your home creates a different kind of soldier, as Russia is finding out the hard way.'",1,1
"b""#RESIST \xf0\x9f\x8c\x8a\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\nPutin's a war criminal, mass murderer.\nRussia behaves like what they're doing to Ukraine is justifiable. That stance is insane!\nRussia must be stopped, shamed, brought to justice for wanton, inexcusable destruction carried out in Ukraine.\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\n\xe2\xac\x87\xef\xb8\x8f\nhttps://t.co/8NHGeKltfc""",1,1
"b'An important interview to understand the Russian perspective. By qualifying defeat in Ukraine (undefined) as an existential threat to Russia, escalation seems the only possible outcome. Very concerning. https://t.co/e6GmxNmpVz'",0,0
"b'@BluSkyDweller @falskaltruist @annventor @visegrad24 Russia invaded Ukraine. If you defend that, you defend Russias right to do whatever they please. Use your brain.'",1,1
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus Stop trying to divide the US from the rest of the \xf0\x9f\x8c\x8e. We all stand with \xf0\x9f\x87\xba\xf0\x9f\x87\xa6 because \xf0\x9f\x87\xb7\xf0\x9f\x87\xba is committing war crimes in \xf0\x9f\x87\xba\xf0\x9f\x87\xa6 #PutinIsaWarCriminal https://t.co/LeSYXUqwnp',1,1
"b""@POTUS Ukrainian presidential adviser calls for heavier weaponry as Russia shifts military focus (CNN)\n\nPutin's Criminal War is at a critical juncture that could result in the REMOVAL of Putin! \nThe US &amp; NATO MUST give Ukraine EVERYTHING it needs to CRUSH Russia!!! https://t.co/GVA51Csco5""",1,1
"b'@SecBlinken \n@SecDef \n@POTUS \nBlind Russia. Geolocate their launch sites, feed them to Ukraine; hack Russian coms.. eliminate their missile threats before Irpin, Kiev, Lugansk, Kharkiv become Grozni. We cannot let the frustrated Assassin &amp; demagogue Putin destroy all of Ukraine.'",1,1
"b'Zelenskyy: Retreating Russian forces leaving mines around homes, bodies\nhttps://t.co/jm5E29so89'",0,0
"b'@GerardAraud A hypothetical, what if Russia is faced with loss of half (or more) of it\xe2\x80\x99s Army\xe2\x80\x99s total combat capability by Victory Day May 9th ?\n\nTheir forces in Ukraine are capable only of defense by then, with surrenders increasing.\n\nWith these future facts, what will Russia do ?'",0,1
"b""@ProfPaulPoast And again, wouldn't the autocephalization of the Kyiv Patriarchate represent a religious schism that would create exactly the sort of conflict we're now seeing between Russia and Ukraine?""",0,1
b'@RussianEmbassy @mfa_russia @RusembUkraine @RusEmbUSA @RusMission_EU @BBCWorld @SkyNews @ftworldnews @guardianworld @TelegraphWorld @spectator Correction #Lavrov \n\nThis is your #russian practice in the ukraine! https://t.co/J7mchK0Z5Y',1,1
b'General Qamar Bajwa is Standing Against Russia and Putin Over Ukraine https://t.co/9nCscWeRWJ via @YouTube',0,0
b'A Belarusian battalion fights in Ukraine \xe2\x80\x98for both countries\xe2\x80\x99 freedom\xe2\x80\x99 https://t.co/rNnJZ6xviB',0,0
b'Via Euronews: Ukraine war: Fuel depot in Russia ablaze as Moscow blames Kyiv for attack on its territory\nhttps://t.co/JTm3PvSiqk',1,0
"b""They are playing the long game, more missiles and less men, of whom they're running out of. Ukraine must go on offensive more often, striking inside Russia more. Let Moscow feel the terror of missiles. Putin is an evil criminal and must be removed asap. https://t.co/duL8JXBfqa""",1,0
"b'@funkierbasil @uamemesforces I see you got no family both in Ukraine and Russia, that lives everything in first person.'",0,0
"b'@benyameenjelly @ragipsoylu Agreed but that only push Round 2 farther into the future.  In the end, Russia is bigger than Ukraine, it will be just a matter of time before they try again (unless Ukraine joins NATO).'",0,0
"b'@IAPonomarenko It must be because the soldiers from the eastern side of Russia who were sent to Ukraine, were not used to good living conditions. I read they were shocked by how wealthy Ukraine was compared to were they came from. A frying pan is probably an interesting thing for them to see.'",1,0
b'@AseyevStanislav Mother Russia should weep for the systemic murder of her civillian brother Slavs in Ukraine today.',1,1
"b'@mfa_russia @TokayevKZ @Rfembkazakhstan @KremlinRussia_E @MFA_KZ @Kazakhstan @AkordaPress @primeministerkz @KazBrussels @KazEmbassyIndia @kazembassyEst ""Current issues.""  Like Putin\'s illegal, barbaric invasion of Ukraine . . ?'",1,1
"b'@FC77991 It is a beautiful water colour, I will try to track down the source!\n\n#StandWithUkraine\n#Ukraine\n#Russia\n#PutinsWar #NotoWar \n\nhttps://t.co/YeYnkQaJr0'",0,0
"b'Russia and Ukraine swapped 100 POWs today (50 from each side). Ukraine released photos of the exchanged personnel, including five women. Russian side, however, is reluctant to release the pics, as reports suggest their swapped POWs are in bad shape with visible signs of torture. https://t.co/FJVn7SacyV'",0,0
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus If you think that\xe2\x80\x99s egregious let me tell you about a place called #Afghanistan',0,1
"b'@IAPonomarenko ""I went to Ukraine and all I got was this lousy T-Shirt"" \nCould be a commercial hit in Russia.'",1,1
"b'@tlitb Geopolitics 101: ""After Russia\xe2\x80\x99s ill-advised invasion of Ukraine, it now appears that the invisible war over global financial resources and control is intensifying. The fuse has been lit and events are taking over.""  https://t.co/OsasjShtxH'",1,0
b'Peace negotiations advanced enough to allow direct meeting between Putin and Zelenskyy: Interfax https://t.co/zSnvU1tiWc',0,0
b'Russia shoots down a Turkish attack drone UAV Bayraktar TB-2 of the Ukrainian Air Force.\n#Kherson region #Ukraine.\nIt is the second time evidence of the shooting down of a Turkish Ukrainian Bayraktar TB-2 drone has been seen. https://t.co/xXU37UDSmn',1,0
"b""@POTUS Ukrainian presidential adviser calls for heavier weaponry as Russia shifts military focus (CNN)\n\nPutin's Criminal War is at a critical juncture that could result in the REMOVAL of Putin! \nThe US &amp; NATO MUST give Ukraine EVERYTHING it needs to CRUSH Russia!!! https://t.co/3mW9KJwaiY""",1,1
"b'SO FAR RUSSIA HAS BEEN LUCKY, \n\nBUT THERE IS THE DANGER THAT A SUICIDE BOMBER WITH UKRAINE SYMPATHY.... \n\nCAN CREATE CHAOS SOMEWHERE IN A HISTORICAL PLACE IN RUSSIA!!!\n\nSO BE VIGILANT!!! https://t.co/GhXYKEGZUO'",1,1
"b'@McFaul This is terrorism. Russia is no different than ISIS. Ukraine should extradite all Russian captured troops to US custody, since they are not technically POWs b/c Russian leadership refuses to call this invasion a \xe2\x80\x9cWar\xe2\x80\x9d, meaning the Russian troops are technically terrorists.'",1,1
b'@Biz_Ukraine_Mag Russia must pay for clean up the mess!\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1',1,1
"b'Orban has supported EU sanctions against Russia and welcomed a substantial number of Ukrainian refugees, some of them ethnic Hungarians. But he has also declared his country \xe2\x80\x9cneutral\xe2\x80\x9d in the fight, refused to send weapons to Ukraine, 1/2 https://t.co/J9C7szMaPQ'",1,0
"b""q President Volodymyr Zelensky's government were provided u.Presidentr defence support from US priv\xe2\x80\xa6 https://t.co/hal4TqlzSO @MailOnline""",0,0
"b""@tim_weber @JoeJSaltarelli @GerardAraud Well, if the Ukrainians actually win in conventional terms, then that's fantastic. But if they can't come out of this without Russia wrecking the place entirely, or annexing significant swaths of their land, then it's time for Ukraine to cut its losses.""",0,0
"b'@War_Mapper LMAO people celebrating Ukraine ""recapturing"" areas that Russia has no interest in and is just withdrawing from is like a frog celebrating because the bath is now warm. But then it keeps getting warmer, and finally the frog realises it was a cooking pot, not a bath.'",0,0
"b'Andy Vermaut shares:Ukraine Says Regained Control Of ""Whole Kyiv Region"": Ukraine has regained control of ""the whole Kyiv region"" after invading Russian forces retreated from some key towns near the Ukrainian capital, deputy defence minister\xe2\x80\xa6 https://t.co/DGiV1jZs3X Thank you. https://t.co/JdSmPVRuO1'",0,0
"b'#Business #business Ukraine Has Retaken Control Of Greater Kyiv Area, Ukrainian Deputy Defense Minister Says: Experts say Russia is now focused on taking control of eastern Ukraine after Russia\xe2\x80\x99s initial plan to capture Kyiv and other major Ukrainian\xe2\x80\xa6 https://t.co/CDmvUAOyPD'",0,0
b'@armscontrol_rus @mfa_russia @UKRinOSCE @i_army_org @Ukraine @USAmbMongolia @USEmbRuPress @UN @UnderSecT @LethalWeaponFOX @Chinamission2un @ChineseEmbinRus At this rate russia won\xe2\x80\x99t have a military my the end of the year! You can threaten Nukes but after seeing how bad your military is I doubt they even work.',1,1
"b""@smarl84 @AgaMagaPl @spectatorindex Afghanistan and Vietnam were also 'Tiny', yet the US lost war against them... If you don't know that war is not about who's big and who's tiny, then you need to learn a lot. By the way, Russia is winning and Ukraine is losing.""",0,0
"b'""It doesn\'t finish. there is no finish to war... War is not won by victory... One side must stop fighting. Why don\'t we stop fighting?"" \n- A Farewell To Arms by Ernest Hemingway \nNow we should ask why Russia\xe2\x80\x99s military don\'t stop fighting?\n#RussiaUkraineConflict #Ukraine #ARMY'",0,0
b'@MarkHertling The drones seem to be a good investment.\n\nRussia is lucky the Switchblades have a limited range I can image Ukraine sending a swarm towards Moscow.',1,0
b'@armscontrol_rus @SRBinRussia @MSBosnia @NATOpoRusski @EU_NonProlif @euunvie @EUOSCE @CroatiaInEU @AmbRusME @UN_Montenegro @AmbrusSlo What Russia is doing now in Ukraine resembles  Nanjing Massacre in 1937. Russian forces are ceaselessly murdering civilians and raping women and girls. Such fascist country must be expelled from international arms control talks.',1,1
"b'@Jim_Jordan That son\'s money-making from Russia, China, Ukraine,  untold other countries have paid the Biden Clan\'s bills for years. Joe was always the ""poorest"" senator until he became VP in 2008. Hunter monetized the Biden name for access to American political power. Joe\'s wealth exploded.'",0,0
b'Ukraine says its forces have stopped Russia\xe2\x80\x99s advances on\xc2\xa0Kyiv https://t.co/UMYgAPTyuB',0,0
b'@mfa_russia @TokayevKZ @Rfembkazakhstan @KremlinRussia_E @MFA_KZ @Kazakhstan @AkordaPress @primeministerkz @KazBrussels @KazEmbassyIndia @kazembassyEst Out of desperation? Putin is in trouble for invading a neighboring country. He needs to remove Russian military from Ukraine immediately. Every world leader must tell him to do that. And then Putin must turn himself in to The Hague for war crimes.',1,1
b'@RussianEmbassy @mfa_russia @RusembUkraine @RusEmbUSA @RusMission_EU @BBCWorld @SkyNews @ftworldnews @guardianworld @TelegraphWorld @spectator Lavrov admits that Putin\xe2\x80\x99s Russia started a war (special operation) in order to prevent a war. What a clown trying to rationalize the horrific Russian invasion of Ukraine to kill civilians with terror bombs in order to steal Ukrainian land for empire building. https://t.co/znnHTYZh39',0,0
